display_name,wta_id,itf_id,alias_record_found,raw_name_variants,first_unmatched_match_date,last_unmatched_match_date,unmatched_match_count,source_files,example_tournaments,example_ranking_week_dates
Adrianna Gallo,70484,800221031,yes,Adrianna Gallo,2000-05-22,2000-05-22,1,itf_matches_arg.csv,"$10,000 Biella",2000-05-22
Agnes Gee,314000,800181377,yes,Agnes Gee,1994-05-09,1994-05-09,1,itf_matches_arg.csv,"$25,000 Budapest I",1994-05-09
Ajda Klevisar,110454,800191747,yes,Ajda Klevisar,1997-04-14,1997-04-14,1,itf_matches_arg.csv,"$10,000 Dubrovnik",1997-04-14
Akemi Sato,190732,800209329,yes,Akemi Sato,1997-11-17,1997-11-17,1,itf_matches_arg.csv,"$10,000 Sao Paulo",1997-11-17
Alejandra Franco,60268,800220135,yes,Alejandra Franco,2000-02-07,2000-02-07,1,itf_matches_arg.csv,"$5,000 Reynosa",2000-02-07
Alena Bencova,20526,800616150,yes,Alena Bencova,1998-05-04,1998-05-04,1,itf_matches_arg.csv,"$10,000 Presov",1998-05-04
Alessandra Dell'Aversaya,40241,800192636,yes,Alessandra Dell'Aversana,2000-05-08,2000-05-08,1,itf_matches_arg.csv,"$10,000 Caserta",2000-05-08
Amanda Brown,20106,800176625,yes,Amanda Brown,1984-08-06,1985-08-12,3,gs_matches_arg.csv | og_matches_arg.csv | wta_matches_arg.csv,Los Angeles 1984 - Olympic Games | United Jersey Bank Classic - Mahwah | Wimbledon,1984-08-06 | 1985-06-24 | 1985-08-12
Amandine Clio,310334,800215178,yes,Amandine Clio,1999-07-19,1999-07-19,1,itf_matches_arg.csv,"$10,000 Brussels",1999-07-19
Amaya Espizua Orth,50154,800211438,yes,Amaya Espizua,1998-07-13,1998-07-13,1,itf_matches_arg.csv,"$25,000 Getxo",1998-07-13
Ana Abad,310094,800704043,yes,Ana Abad,2000-03-27,2000-03-27,1,itf_matches_arg.csv,"$10,000 Santiago",2000-03-27
Ana Cavadini,324105,800174983,yes,Ana Cavadini,1969-05-19,1969-08-28,5,gs_matches_arg.csv,Roland Garros | US Open,
Ana Elizabeth Jimenez Garcia,100088,800192052,yes,Ana-Elizabeth Jimenez-Garcia,2000-02-07,2000-02-07,1,itf_matches_arg.csv,"$5,000 Reynosa",2000-02-07
Ana Lucia Perryra,160412,800197794,yes,Ana-Lucia Pereyra,2000-02-07,2000-02-07,1,itf_matches_arg.csv,"$5,000 Reynosa",2000-02-07
Ana Maria Cibils,30474,800818936,yes,Ana Maria Cibils,1997-10-06,1999-09-20,2,itf_matches_arg.csv,"$10,000 Asuncion | $10,000 Montevideo",1997-10-06 | 1999-09-20
Ana María Arias,10165,800174996,yes,Ana-Maria Arias,1969-05-19,1971-06-21,14,gs_matches_arg.csv,Roland Garros | US Open | Wimbledon,
Analía Baca,20516,800199992,yes,Analia Baca,1996-10-21,1996-10-21,4,itf_matches_arg.csv,"$10,000 Rio Grande Sul",1996-10-21
Analía Margaride,130375,800203743,yes,Analia Margaride,1996-09-09,1996-09-09,2,itf_matches_arg.csv,"$10,000 Buenos Aires",1996-09-09
Anna Maria Meschi,130764,800225250,yes,Anna Maria Meschi,2000-09-25,2000-09-25,1,itf_matches_arg.csv,"$25,000 Verona",2000-09-25
Anna-Maria Hollo,80181,800200486,yes,Anna-Maria Hollo,1996-02-05,1996-02-05,1,itf_matches_arg.csv,"$50,000 Mar Del Plata",1996-02-05
Annabella Isa,90083,800202782,yes,Annabella Isa,1996-07-22,1996-09-09,5,itf_matches_arg.csv,"$10,000 Buenos Aires | $25,000 Buenos Aires",1996-07-22 | 1996-09-09
Anne Carmans,320051,800206805,yes,Anne Carmans,1998-07-20,1998-07-20,1,itf_matches_arg.csv,"$10,000 Brussels",1998-07-20
Antonella Canapi,30125,800178152,yes,Antonella Canapi,1983-05-16,1983-05-16,1,gs_matches_arg.csv,Roland Garros,1983-05-16
Ashleigh Dolman,40323,800206241,yes,Ashleigh Dolman,1997-05-05,1997-05-05,1,itf_matches_arg.csv,"$10,000 Lee-on-Solent",1997-05-05
Astrid Suurbeck,323315,800174588,yes,Astrid Suurbeck,1969-06-23,1969-06-23,1,gs_matches_arg.csv,Wimbledon,
Augustina Arechavaleta,10373,800225305,yes,Agustina Arechavaleta,2000-09-25,2000-09-25,1,itf_matches_arg.csv,"$10,000 Montevideo",2000-09-25
Barbara Bernardini,20621,800707664,yes,Barbara Bernardini,1999-07-12,1999-07-12,1,itf_matches_arg.csv,"$10,000 Sezze",1999-07-12
Barbara Brauchle,20548,800203605,yes,Barbara Brauchle,1996-09-02,1996-09-02,1,itf_matches_arg.csv,"$10,000 Santiago",1996-09-02
Barbara Lado,312608,800221199,yes,Barbara Lado,2000-04-07,2000-04-07,1,itf_matches_arg.csv,"$10,000 Cavtat",2000-04-03
Barbara Soares,190847,800204372,yes,Barbara Soares,1996-10-21,1996-10-21,1,itf_matches_arg.csv,"$10,000 Rio Grande Sul",1996-10-21
Barbi Bramblett,20143,800177901,yes,Barbi Bramblett,1984-04-02,1984-10-08,2,wta_matches_arg.csv,Japan Open Tennis Championships - Tokyo | Miami Classic - Miami,1984-04-02 | 1984-10-08
Beatriz Araujo,10112,800175416,yes,Beatriz Araujo,1972-03-20,1975-06-02,9,bjkc_matches_arg.csv | gs_matches_arg.csv | national_team_order.csv,Roland Garros | WG | Wimbledon | World Group,
Belén Pandre,310460,800663653,yes,Belen Pandre,2000-08-21,2000-08-21,1,itf_matches_arg.csv,"$10,000 Buenos Aires",2000-08-21
Betty-Ann Dent,319406,800175022,yes,Betty-Ann Dent,1979-05-28,1979-05-28,1,gs_matches_arg.csv,Roland Garros,
Brenda Martinez,130579,800190325,yes,Brenda Martinez,2000-02-07,2000-02-07,1,itf_matches_arg.csv,"$5,000 Reynosa",2000-02-07
Bruna Gelbecke,70497,800216315,yes,Bruna Gelbecke,1999-05-10,1999-05-10,1,itf_matches_arg.csv,"$10,000 Elvas",1999-05-10
Camila Andolfato,10231,800667306,yes,Camila Andolfato,1996-07-08,1996-07-08,1,itf_matches_arg.csv,"$10,000 Sao Paulo",1996-07-08
Camila Sagae,190800,800204535,yes,Camila Sagae,1999-10-04,1999-11-22,2,itf_matches_arg.csv,"$10,000 Campos | $10,000 Santiago",1999-10-04 | 1999-11-22
Carole Caldwell-Graebner,70242,800174007,yes,Carole Graebner,1969-08-28,1969-08-28,1,gs_matches_arg.csv,US Open,
Carolina Aravena,10310,800210039,yes,Carolina Aravena,1998-04-06,2000-03-27,7,itf_matches_arg.csv,"$10,000 Santiago | $10,000 Vina Del Mar | $25,000 Santiago",1998-04-06 | 1998-09-21 | 1998-10-05 | 1999-10-04 | 2000-03-27
Carolina Conte,30275,800201396,yes,Carolina Conte,1996-05-20,1996-05-27,3,itf_matches_arg.csv,"$10,000 Buenos Aires",1996-05-20 | 1996-05-27
Carolina Duran,40284,800192869,yes,Carolina Duran,1994-06-27,1994-06-27,1,itf_matches_arg.csv,"$25,000 Caceres",1994-06-27
Carolina Franco Castedo,60337,800224142,yes,Carolina Franco,2000-08-14,2000-08-14,1,itf_matches_arg.csv,"$10,000 La Paz",2000-08-14
Carolina García,70300,800201426,yes,Carolina Garcia,1996-05-27,1996-05-27,1,itf_matches_arg.csv,"$10,000 Buenos Aires",1996-05-27
Carolina Kanacri,110429,800195552,yes,Carolina Kanacri,1997-09-15,1997-09-15,1,itf_matches_arg.csv,"$10,000 Santiago",1997-09-15
Carolina Ojeda,150157,800209263,yes,Carolina Ojeda,1997-10-13,2000-09-18,4,itf_matches_arg.csv,"$10,000 ASUNCION | $10,000 Asuncion",1997-10-13 | 2000-09-18
Carolina Olague,150169,800190571,yes,Carolina Olague,1998-10-05,1998-10-19,2,itf_matches_arg.csv,"$10,000 Montevideo | $25,000 Montevideo",1998-10-05 | 1998-10-19
Caroline Franch,60104,800176669,yes,Caroline Franch,1980-08-19,1980-08-19,1,gs_matches_arg.csv,US Open,
Cata Fillol,60305,800205278,yes,Catalina Fillol,1999-03-29,1999-03-29,1,itf_matches_arg.csv,"$10,000 Santiago",1999-03-29
Catalina Martinez,130573,800204152,yes,Catalina Martinez,1996-09-30,1996-09-30,1,itf_matches_arg.csv,"$10,000 Bogota",1996-09-30
Cecilia Poveda,160502,800223740,yes,Cecilia Poveda,2000-08-14,2000-08-14,1,itf_matches_arg.csv,"$10,000 La Paz",2000-08-14
Cecilia Varela,220247,800210750,yes,Cecilia Varela,1998-04-06,1999-10-04,3,itf_matches_arg.csv,"$10,000 Santiago | $10,000 Vina Del Mar",1998-04-06 | 1999-03-29 | 1999-10-04
Chris Newton,140056,800176062,yes,Chris Newton,1978-05-22,1978-05-22,1,gs_matches_arg.csv,Roland Garros,
Christiane Spinoza,323289,800174466,yes,Christiane Spinoza,1969-05-19,1969-05-19,1,gs_matches_arg.csv,Roland Garros,
Christina Sandberg,190320,800174326,yes,Christina Sandberg,1971-06-21,1973-05-01,2,bjkc_matches_arg.csv | gs_matches_arg.csv,Wimbledon | World Group,
Christine Dorey,40055,800175075,yes,Christine Dorey,1977-05-16,1977-05-16,1,gs_matches_arg.csv,Roland Garros,
Cindy Schuurmans,204023,800195528,yes,Cindy Schuurmans,1997-11-10,1999-06-14,3,itf_matches_arg.csv,"$10,000 Hoorn | $10,000 Hvar | $10,000 Rio de Janeiro",1997-11-10 | 1998-03-30 | 1999-06-14
Cintia Seaton,190918,800190787,yes,Cintia Seaton,2000-08-28,2000-08-28,2,itf_matches_arg.csv,"$10,000 Buenos Aires",2000-08-28
Claudia Casabianca,30014,800176400,yes,Claudia Casabianca,1977-05-16,1981-06-22,33,bjkc_matches_arg.csv | gs_matches_arg.csv | wta_matches_arg.csv,Christchurch | Crossley Carpets Tournament - Chichester | Italian Open - Perugia | Italian Open - Rome | Player's Canadian Open - Toronto,
Claudia D'Agati,40396,800218565,yes,Claudia D'Agati,2000-09-11,2000-09-11,1,itf_matches_arg.csv,"$25,000 Reggio Calabria",2000-09-11
Claudia Lepore,120319,800201403,yes,Claudia Lepore,1996-05-20,1998-11-16,6,itf_matches_arg.csv,"$10,000 Buenos Aires | $25,000 Buenos Aires",1996-05-20 | 1997-09-29 | 1998-11-16
Cristina Condon,30592,800225439,yes,Cristina Condon,1999-10-04,1999-10-04,1,itf_matches_arg.csv,"$10,000 Santiago",1999-10-04
Cristina Meilicke,130761,800210139,yes,Cristina Meilicke,1998-10-12,1999-09-20,2,itf_matches_arg.csv,"$10,000 Asuncion",1998-10-12 | 1999-09-20
