matchType,matchId,date,tournamentId,tournamentName,tournamentCategory,surface,inOrOutdoor,tournamentCountry,roundName,draw,result,resultStatusDesc,winnerId,winnerEntry,winnerSeed,winnerName,winnerCountry,loserId,loserEntry,loserSeed,loserName,loserCountry
ITF,1020102913,1994-03-21,1020001395,"$25,000 Brest",W25,Hard,O,France,1st Round,M,6-3 6-1,,800187786,DA,,Sylvia Plischke,AUT,800183183,DA,,Maria-Fernanda Landa,ARG
ITF,1020125013,1994-03-28,1020001645,"$25,000 Moulins",W25,Hard,I,France,QR1,Q,6-1 6-3,,800190954,DA,,Vanina Casanova,FRA,800191516,DA,,Veronica Stele,ARG
ITF,1020125026,1994-03-28,1020001645,"$25,000 Moulins",W25,Hard,I,France,QR2,Q,6-4 6-4,,800191301,DA,,Celine Regnier,FRA,800183186,DA,3,Cintia Tortorella,ARG
ITF,1020178147,1994-03-28,1020001645,"$25,000 Moulins",W25,Hard,I,France,QR1,Q,-,Bye,800183186,DA,3,Cintia Tortorella,ARG,Unknown,,,Bye,-
ITF,1020108308,1994-04-04,1020001592,"$25,000 Limoges",W25,Hard,I,France,1st Round,M,6-1 6-3,,800191302,Q,,Rita Kuti Kis,HUN,800183183,DA,,Maria-Fernanda Landa,ARG
ITF,1020108310,1994-04-04,1020001592,"$25,000 Limoges",W25,Hard,I,France,1st Round,M,6-4 7-6,,800180659,DA,,Marion Maruska,AUT,800191285,DA,8,Laura Montalvo,ARG
ITF,1020123411,1994-04-04,1020001592,"$25,000 Limoges",W25,Hard,I,France,QR1,Q,6-2 6-2,,800191516,DA,,Veronica Stele,ARG,800185105,DA,15,Maria-Ines Araiz,ARG
ITF,1020123442,1994-04-04,1020001592,"$25,000 Limoges",W25,Hard,I,France,QR2,Q,7-6 2-6 6-2,,800191298,DA,,Sabine Lutter,AUT,800191516,DA,,Veronica Stele,ARG
ITF,1020123455,1994-04-04,1020001592,"$25,000 Limoges",W25,Hard,I,France,QR2,Q,6-2 6-1,,800191151,DA,,Laurence Giroud,FRA,800183186,DA,2,Cintia Tortorella,ARG
ITF,1020177855,1994-04-04,1020001592,"$25,000 Limoges",W25,Hard,I,France,QR1,Q,-,Bye,800183186,DA,2,Cintia Tortorella,ARG,Unknown,,,Bye,-
ITF,1020103314,1994-05-09,1020001409,"$25,000 Budapest I",W25,Clay,O,Hungary,1st Round,M,2-6 6-4 7-5,,800180088,DA,,Virag Csurgo,HUN,800184570,DA,7,Mariana Diaz-Oliva,ARG
ITF,1020117891,1994-05-09,1020001409,"$25,000 Budapest I",W25,Clay,O,Hungary,QR1,Q,5-7 7-6 6-3,,800185348,DA,5,Denisa Sobotkova,CZE,800192143,DA,,Valentina Solari,ARG
